x= ,0, v= ,10, u= ,10000
x= ,10, v= ,19, u= ,10990
x= ,29, v= ,28, u= ,11881
x= ,57, v= ,37, u= ,12672
x= ,94, v= ,45, u= ,13354
x= ,139, v= ,52, u= ,13919
x= ,191, v= ,58, u= ,14368
x= ,249, v= ,63, u= ,14703
x= ,312, v= ,66, u= ,14927
x= ,378, v= ,68, u= ,15045
x= ,446, v= ,68, u= ,15071
x= ,514, v= ,68, u= ,15013
x= ,582, v= ,66, u= ,14887
x= ,648, v= ,63, u= ,14695
x= ,711, v= ,59, u= ,14456
x= ,770, v= ,54, u= ,14182
x= ,824, v= ,48, u= ,13886
x= ,872, v= ,41, u= ,13582
x= ,913, v= ,33, u= ,13285
x= ,946, v= ,25, u= ,13011
x= ,971, v= ,17, u= ,12776
x= ,988, v= ,9, u= ,12588
x= ,997, v= ,1, u= ,12455
x= ,998, v= ,-6, u= ,12385
x= ,992, v= ,-12, u= ,12385
x= ,980, v= ,-18, u= ,12453
x= ,962, v= ,-23, u= ,12587
x= ,939, v= ,-27, u= ,12792
x= ,912, v= ,-30, u= ,13064
x= ,882, v= ,-31, u= ,13398
x= ,851, v= ,-31, u= ,13787
x= ,820, v= ,-31, u= ,14215
x= ,789, v= ,-30, u= ,14674
x= ,759, v= ,-28, u= ,15163
x= ,731, v= ,-25, u= ,15672
x= ,706, v= ,-21, u= ,16190
x= ,685, v= ,-17, u= ,16705
x= ,668, v= ,-12, u= ,17205
x= ,656, v= ,-7, u= ,17685
x= ,649, v= ,-2, u= ,18132
x= ,647, v= ,3, u= ,18541
x= ,650, v= ,8, u= ,18907
x= ,658, v= ,13, u= ,19225
x= ,671, v= ,18, u= ,19490
x= ,689, v= ,22, u= ,19697
x= ,711, v= ,25, u= ,19842
x= ,736, v= ,28, u= ,19930
x= ,764, v= ,30, u= ,19966
x= ,794, v= ,31, u= ,19948
x= ,825, v= ,31, u= ,19883
x= ,856, v= ,31, u= ,19779
x= ,887, v= ,31, u= ,19644
x= ,918, v= ,30, u= ,19478
x= ,948, v= ,28, u= ,19282
x= ,976, v= ,26, u= ,19066
x= ,1002, v= ,23, u= ,18840
x= ,1025, v= ,20, u= ,18607
x= ,1045, v= ,16, u= ,18378
x= ,1061, v= ,12, u= ,18157
x= ,1073, v= ,8, u= ,17956
x= ,1081, v= ,4, u= ,17779
x= ,1085, v= ,0, u= ,17630
x= ,1085, v= ,-4, u= ,17513
x= ,1081, v= ,-7, u= ,17432
x= ,1074, v= ,-10, u= ,17390
x= ,1064, v= ,-13, u= ,17382
x= ,1051, v= ,-15, u= ,17411
x= ,1036, v= ,-17, u= ,17479
x= ,1019, v= ,-18, u= ,17580
x= ,1001, v= ,-18, u= ,17715
x= ,983, v= ,-18, u= ,17876
x= ,965, v= ,-18, u= ,18055
x= ,947, v= ,-18, u= ,18252
x= ,929, v= ,-17, u= ,18467
x= ,912, v= ,-16, u= ,18699
x= ,896, v= ,-14, u= ,18939
x= ,882, v= ,-12, u= ,19185
x= ,870, v= ,-10, u= ,19427
x= ,860, v= ,-7, u= ,19663
x= ,853, v= ,-4, u= ,19890
x= ,849, v= ,-1, u= ,20097
x= ,848, v= ,2, u= ,20281
x= ,850, v= ,5, u= ,20439
x= ,855, v= ,8, u= ,20568
x= ,863, v= ,10, u= ,20665
x= ,873, v= ,12, u= ,20728
x= ,885, v= ,14, u= ,20763
x= ,899, v= ,15, u= ,20768
x= ,914, v= ,16, u= ,20742
x= ,930, v= ,16, u= ,20692
x= ,946, v= ,16, u= ,20618
x= ,962, v= ,16, u= ,20528
x= ,978, v= ,16, u= ,20422
x= ,994, v= ,16, u= ,20300
x= ,1010, v= ,15, u= ,20162
x= ,1025, v= ,14, u= ,20009
x= ,1039, v= ,12, u= ,19850
x= ,1051, v= ,10, u= ,19687
x= ,1061, v= ,8, u= ,19530
x= ,1069, v= ,6, u= ,19381
x= ,1075, v= ,4, u= ,19242
x= ,1079, v= ,2, u= ,19115
x= ,1081, v= ,0, u= ,19002
x= ,1081, v= ,-2, u= ,18905
x= ,1079, v= ,-4, u= ,18826
x= ,1075, v= ,-6, u= ,18767
x= ,1069, v= ,-8, u= ,18730
x= ,1061, v= ,-9, u= ,18717
x= ,1052, v= ,-10, u= ,18729
x= ,1042, v= ,-11, u= ,18759
x= ,1031, v= ,-11, u= ,18808
x= ,1020, v= ,-11, u= ,18876
x= ,1009, v= ,-11, u= ,18955
x= ,998, v= ,-11, u= ,19045
x= ,987, v= ,-11, u= ,19146
x= ,976, v= ,-11, u= ,19258
x= ,965, v= ,-11, u= ,19381
x= ,954, v= ,-10, u= ,19515
x= ,944, v= ,-9, u= ,19659
x= ,935, v= ,-8, u= ,19804
x= ,927, v= ,-6, u= ,19949
x= ,921, v= ,-4, u= ,20092
x= ,917, v= ,-2, u= ,20223
x= ,915, v= ,0, u= ,20340
x= ,915, v= ,2, u= ,20441
x= ,917, v= ,4, u= ,20524
x= ,921, v= ,5, u= ,20587
x= ,926, v= ,6, u= ,20629
x= ,932, v= ,7, u= ,20657
x= ,939, v= ,8, u= ,20670
x= ,947, v= ,9, u= ,20667
x= ,956, v= ,9, u= ,20647
x= ,965, v= ,9, u= ,20610
x= ,974, v= ,9, u= ,20564
x= ,983, v= ,9, u= ,20509
x= ,992, v= ,9, u= ,20445
x= ,1001, v= ,9, u= ,20372
x= ,1010, v= ,9, u= ,20290
x= ,1019, v= ,9, u= ,20199
x= ,1028, v= ,8, u= ,20099
x= ,1036, v= ,7, u= ,19991
x= ,1043, v= ,6, u= ,19884
x= ,1049, v= ,5, u= ,19779
x= ,1054, v= ,4, u= ,19677
x= ,1058, v= ,3, u= ,19579
x= ,1061, v= ,2, u= ,19486
x= ,1063, v= ,0, u= ,19399
x= ,1063, v= ,-1, u= ,19320
x= ,1062, v= ,-2, u= ,19258
x= ,1060, v= ,-3, u= ,19206
x= ,1057, v= ,-4, u= ,19165
x= ,1053, v= ,-5, u= ,19136
x= ,1048, v= ,-6, u= ,19120
x= ,1042, v= ,-7, u= ,19118
x= ,1035, v= ,-8, u= ,19131
x= ,1027, v= ,-8, u= ,19160
x= ,1019, v= ,-8, u= ,19205
x= ,1011, v= ,-8, u= ,19258
x= ,1003, v= ,-8, u= ,19319
x= ,995, v= ,-8, u= ,19388
x= ,987, v= ,-8, u= ,19465
x= ,979, v= ,-8, u= ,19550
x= ,971, v= ,-8, u= ,19643
x= ,963, v= ,-7, u= ,19744
x= ,956, v= ,-6, u= ,19852
x= ,950, v= ,-5, u= ,19958
x= ,945, v= ,-4, u= ,20061
x= ,941, v= ,-3, u= ,20160
x= ,938, v= ,-2, u= ,20254
x= ,936, v= ,-1, u= ,20342
x= ,935, v= ,0, u= ,20423
x= ,935, v= ,1, u= ,20496
x= ,936, v= ,2, u= ,20560
x= ,938, v= ,3, u= ,20614
x= ,941, v= ,4, u= ,20657
x= ,945, v= ,5, u= ,20688
x= ,950, v= ,6, u= ,20706
x= ,956, v= ,7, u= ,20710
x= ,963, v= ,7, u= ,20699
x= ,970, v= ,7, u= ,20673
x= ,977, v= ,7, u= ,20640
x= ,984, v= ,7, u= ,20600
x= ,991, v= ,7, u= ,20553
x= ,998, v= ,7, u= ,20499
x= ,1005, v= ,7, u= ,20438
x= ,1012, v= ,7, u= ,20370
x= ,1019, v= ,7, u= ,20295
x= ,1026, v= ,7, u= ,20213
x= ,1033, v= ,6, u= ,20124
x= ,1039, v= ,5, u= ,20029
x= ,1044, v= ,4, u= ,19937
x= ,1048, v= ,3, u= ,19849
x= ,1051, v= ,2, u= ,19766
x= ,1053, v= ,1, u= ,19689
x= ,1054, v= ,0, u= ,19619
x= ,1054, v= ,-1, u= ,19557
x= ,1053, v= ,-2, u= ,19504
x= ,1051, v= ,-3, u= ,19461
x= ,1048, v= ,-4, u= ,19429
x= ,1044, v= ,-5, u= ,19409
x= ,1039, v= ,-5, u= ,19402
x= ,1034, v= ,-5, u= ,19408
x= ,1029, v= ,-5, u= ,19419
x= ,1024, v= ,-5, u= ,19435
x= ,1019, v= ,-5, u= ,19456
x= ,1014, v= ,-5, u= ,19482
x= ,1009, v= ,-5, u= ,19513
x= ,1004, v= ,-5, u= ,19549
x= ,999, v= ,-5, u= ,19590
x= ,994, v= ,-5, u= ,19636
x= ,989, v= ,-5, u= ,19687
x= ,984, v= ,-5, u= ,19743
x= ,979, v= ,-5, u= ,19804
x= ,974, v= ,-5, u= ,19870
x= ,969, v= ,-5, u= ,19941
x= ,964, v= ,-4, u= ,20017
x= ,960, v= ,-3, u= ,20097
x= ,957, v= ,-2, u= ,20172
x= ,955, v= ,-1, u= ,20241
x= ,954, v= ,0, u= ,20303
x= ,954, v= ,1, u= ,20357
x= ,955, v= ,2, u= ,20402
x= ,957, v= ,3, u= ,20437
x= ,960, v= ,4, u= ,20461
x= ,964, v= ,4, u= ,20473
x= ,968, v= ,4, u= ,20473
x= ,972, v= ,4, u= ,20469
x= ,976, v= ,4, u= ,20461
x= ,980, v= ,4, u= ,20449
x= ,984, v= ,4, u= ,20433
x= ,988, v= ,4, u= ,20413
x= ,992, v= ,4, u= ,20389
x= ,996, v= ,4, u= ,20361
x= ,1000, v= ,4, u= ,20329
x= ,1004, v= ,4, u= ,20293
x= ,1008, v= ,4, u= ,20253
x= ,1012, v= ,4, u= ,20209
x= ,1016, v= ,4, u= ,20161
x= ,1020, v= ,4, u= ,20109
x= ,1024, v= ,4, u= ,20053
x= ,1028, v= ,4, u= ,19993
x= ,1032, v= ,3, u= ,19929
x= ,1035, v= ,2, u= ,19862
x= ,1037, v= ,1, u= ,19801
x= ,1038, v= ,0, u= ,19747
x= ,1038, v= ,-1, u= ,19701
x= ,1037, v= ,-1, u= ,19664
x= ,1036, v= ,-2, u= ,19636
x= ,1034, v= ,-2, u= ,19610
x= ,1032, v= ,-2, u= ,19594
x= ,1030, v= ,-2, u= ,19580
x= ,1028, v= ,-2, u= ,19568
x= ,1026, v= ,-2, u= ,19558
x= ,1024, v= ,-2, u= ,19550
x= ,1022, v= ,-2, u= ,19544
x= ,1020, v= ,-2, u= ,19540
x= ,1018, v= ,-2, u= ,19538
